nombre_cientifico,Nombre común (ES),Nombre común (EN),Superorden,Orden,Suborden,Familia,Subfamilia,Género,mardex_id,mardex_cat,mardex_code,mardex_size,mardex_habitat,mardex_depth,mardex_speed,mardex_diet,mardex_rarity,mardex_blurb
Epinephelus costae,Falso abadejo,Goldblotch grouper,Acanthopterygii,Perciformes,Serranoidei,Serranidae,,Epinephelus,falsoabadejo,pez,PEZ-10,0.9 m,Fondos rocosos y de coralígeno,20–200 m,Lenta,Peces y crustáceos,4,"También llamado mero dorado, es primo cercano del mero común aunque de cuerpo algo más esbelto. Frecuenta fondos de coralígeno más profundos que su pariente."
Anthias anthias,Tres colas,Swallowtail seaperch,Acanthopterygii,Perciformes,Serranoidei,Serranidae,Anthiadinae,Anthias,trescolas,pez,PEZ-11,0.24 m,Cuevas y paredes con corriente,15–100 m,Moderada,Zooplancton,3,Pequeño pez de color rosado y líneas amarillas que debe su nombre a sus grandes aletas pélvicas y caudal. Forma cardúmenes vistosos a la entrada de cuevas y grutas profundas.
Sciaena umbra,Corvina,Brown meagre,Acanthopterygii,Perciformes,,Sciaenidae,,Sciaena,corvina,pez,PEZ-12,0.5 m,Cuevas y paredes en penumbra,3–50 m,Lenta,Peces y crustáceos,3,"De color oscuro y reflejos cobrizos, se agrupa de día en cuevas y bajo salientes rocosos, casi inmóvil. Antaño muy castigada por la pesca submarina, hoy se recupera en zonas protegidas."
Serranus cabrilla,Cabrilla,Comber,Acanthopterygii,Perciformes,Serranoidei,Serranidae,,Serranus,cabrilla,pez,PEZ-13,0.25 m,Fondos rocosos y praderas de posidonia,5–300 m,Moderada,Peces pequeños y crustáceos,1,"Pequeño depredador hermafrodita simultáneo, con el cuerpo alargado y bandas verticales rojizas. Uno de los peces más fáciles de encontrar posado sobre rocas y arena."
Mullus surmuletus,Salmonete de roca,Striped red mullet,Acanthopterygii,Perciformes,,Mullidae,,Mullus,salmonete,pez,PEZ-14,0.3 m,Fondos rocosos y de arena,5–400 m,Moderada,"Invertebrados del fondo, localizados con sus barbillones",2,De color rojizo y con dos largos barbillones bajo la mandíbula que usa para rastrear el fondo en busca de alimento. Muy apreciado también en gastronomía.
Sphyraena viridensis,Espetón,Yellowmouth barracuda,Acanthopterygii,Perciformes,,Sphyraenidae,,Sphyraena,espeton,pez,PEZ-15,1 m,Aguas costeras abiertas,0–100 m,Muy rápida,"Peces pequeños, depredador activo",3,"Barracuda mediterránea de cuerpo torpediforme y dientes afilados. Forma impresionantes bancos verticales casi inmóviles en aguas abiertas, un clásico entre los grandes avistamientos del Mediterráneo."
Scorpaena scrofa,Cabracho,Red scorpionfish,Acanthopterygii,Scorpaeniformes,,Scorpaenidae,,Scorpaena,cabracho,pez,PEZ-16,0.5 m,"Fondos rocosos, camuflado entre algas y piedras",5–500 m,Muy lenta,"Peces y crustáceos, caza al acecho",3,Maestro del camuflaje gracias a su piel rugosa y coloración rojiza que imita a las rocas cubiertas de algas. Permanece inmóvil a la espera de que una presa se acerque lo suficiente. Sus espinas son venenosas.
Symphodus tinca,Tordo,East Atlantic peacock wrasse,Acanthopterygii,Labriformes,,Labridae,,Symphodus,tordo,pez,PEZ-17,0.4 m,Praderas de posidonia y fondos rocosos,1–50 m,Moderada,Invertebrados bentónicos,2,"Lábrido robusto de colores variables, del verde al pardo rojizo. El macho construye y vigila un nido de algas donde corteja a las hembras."
Coris julis,Julia,Mediterranean rainbow wrasse,Acanthopterygii,Labriformes,,Labridae,,Coris,julia,pez,PEZ-18,0.25 m,Fondos rocosos y praderas de posidonia,0–120 m,Rápida,Pequeños invertebrados,1,"Con su franja naranja y azul zigzagueante, es probablemente el pez más avistado en cualquier inmersión mediterránea. Nada rápido y errático entre las rocas."
Thalassoma pavo,Fredi,Ornate wrasse,Acanthopterygii,Labriformes,,Labridae,,Thalassoma,fredi,pez,PEZ-19,0.2 m,Fondos rocosos someros,0–40 m,Rápida,Pequeños invertebrados,2,"Lábrido de colores vivos —verde, azul y rosa— cada vez más frecuente en el Mediterráneo occidental. También conocido como pez verde, fadrí o senyoreta según la zona."
Chelon labrosus,Lisa,Thicklip grey mullet,Mugilomorpha,Mugiliformes,,Mugilidae,,Chelon,lisa,pez,PEZ-20,0.7 m,"Aguas costeras, estuarios y puertos",0–20 m,Moderada,"Detritos, algas y pequeños invertebrados del sedimento",1,"De labios gruesos característicos, forma bancos habituales en puertos y calas poco profundas, donde se alimenta filtrando el sedimento del fondo."
Muraena helena,Morena,Mediterranean moray,Elopomorpha,Anguilliformes,,Muraenidae,,Muraena,morena,pez,PEZ-21,1.5 m,Grietas y cuevas rocosas,0–80 m,Lenta,Peces y cefalópodos,2,"Cuerpo serpentiforme con un llamativo patrón marmoleado. Pasa el día asomando la cabeza desde su refugio entre las rocas, abriendo y cerrando la boca para respirar, no como gesto de amenaza."
Conger conger,Congrio,European conger,Elopomorpha,Anguilliformes,,Congridae,,Conger,congrio,pez,PEZ-22,2 m,"Cuevas, grietas y restos de naufragios",0–300 m,Lenta,"Peces, crustáceos y cefalópodos",2,"La mayor de las anguilas mediterráneas, de color gris uniforme y sin escamas. Habitual en pecios y grutas, donde puede alcanzar tamaños considerables."
